"repo","primary_domain","secondary_domain","priority","target","note"
"High-Frequency-Trading-Software","ea_systems","execution","A","EA_RESEARCH_LAB/entry + nautilus_bt","HFT/execution research candidate"
"OHLC-Vol","volatility","validation","A+","AMOS_EDGE_LAB/volatility","OHLC volatility estimators"
"Conditional-Skew","regime","distribution","A","AMOS_EDGE_LAB/regime","Conditional skew / state diagnostics"
"Yahoo-Option-Prices","data","derivatives","B","EA_RESEARCH_LAB/cost_model","Options market data utility"
"YahooFundamentals","data","equity","B","AMOS_EDGE_LAB/feature_library","Fundamental data utility"
"Delta-Gamma","risk","derivatives","A","EA_RESEARCH_LAB/risk","Greeks / nonlinear exposure"
"ReturnDistributions","distribution","tail_risk","A+","AMOS_EDGE_LAB/distribution","Heavy-tail return fitting"
"Earnings-Dates","data","event_risk","B","EA_RESEARCH_LAB/risk","Event calendar utility"
"YahooFinance","data","validation","B","AMOS_EDGE_LAB/validation","Market data ingestion utility"
"yfinance-corporate-actions-prices","data","validation","B","AMOS_EDGE_LAB/validation","Corporate action / price adjustment checks"
"Intraday-Vol","volatility","regime","A+","AMOS_EDGE_LAB/volatility","Intraday volatility diagnostics"
"intraday-prices","data","validation","A+","AMOS_EDGE_LAB/validation","Intraday vendor/data-quality checks"
"Root-Mean-Square-Bias","validation","statistics","A","AMOS_EDGE_LAB/validation","Bias/error diagnostic"
"ProbabilityDistributions","distribution","statistics","A","AMOS_EDGE_LAB/distribution","Distribution utilities"
"Non-lognormal-option-pricing","risk","distribution","A","EA_RESEARCH_LAB/risk","Non-lognormal pricing / tail sensitivity"
"FinanceBooks","reference","research","C","SOURCE_MIRROR","Reference material index"
"Paths","statistics","simulation","B","AMOS_EDGE_LAB/feature_library","Path/simulation utilities"
"BinomialTree","risk","derivatives","B","EA_RESEARCH_LAB/risk","Tree-based derivative/risk models"
"Option-Portfolio","risk","portfolio","A","EA_RESEARCH_LAB/risk","Portfolio risk aggregation"
"vix_utils","volatility","regime","A","AMOS_EDGE_LAB/volatility","VIX/volatility utilities"
"ReturnStats","validation","statistics","A","AMOS_EDGE_LAB/validation","Return diagnostics"
"GetPriceData","data","validation","B","AMOS_EDGE_LAB/validation","Price ingestion utility"
"Conditional-Return-Stats","regime","validation","A+","AMOS_EDGE_LAB/regime","Conditional EDGE diagnostics"
"moving-average-systems","validation","entry","A+","AMOS_EDGE_LAB/validation","Exact grid search + multiple-testing aware evaluation"
"implied-vol-speed","volatility","regime","A","AMOS_EDGE_LAB/volatility","Implied-vol dynamics"
"OHLC-Correlation","regime","statistics","A","AMOS_EDGE_LAB/regime","Correlation/state diagnostics"
"Sharpe-out-of-sample","validation","statistics","A+","AMOS_EDGE_LAB/validation","OOS Sharpe robustness"
"Return-Mixtures","regime","distribution","A+","AMOS_EDGE_LAB/regime","Mixture-state regime modeling"
"Implied-Vol-Surface","volatility","risk","A","AMOS_EDGE_LAB/volatility","Vol surface diagnostics"
"Time-Series-Distributions","distribution","regime","A+","AMOS_EDGE_LAB/distribution","Time-series distribution modeling"
"cpp-dataframe","data","infrastructure","C","SOURCE_MIRROR","C++ dataframe utility"
"Student-t-option-pricing","risk","distribution","A","EA_RESEARCH_LAB/risk","Student-t tail-aware pricing"
"Return-Mixtures-of-Normals","regime","distribution","A+","AMOS_EDGE_LAB/regime","Gaussian mixture regime model"
"GARCH","volatility","regime","A+","AMOS_EDGE_LAB/volatility","Conditional volatility"
"Returns-Azzalini-Skew-t","distribution","tail_risk","A+","AMOS_EDGE_LAB/distribution","Skew-t tail model"
"Beta","regime","risk","B","AMOS_EDGE_LAB/regime","Beta/state relationship"
"ETF-Risk-Lab","risk","portfolio","A","EA_RESEARCH_LAB/risk","Portfolio risk lab"
"Bivariate-Student-t-distribution","distribution","tail_risk","A","AMOS_EDGE_LAB/distribution","Bivariate heavy-tail dependence"
"DeltaHedging","risk","execution","A","EA_RESEARCH_LAB/risk","Dynamic hedge/exposure control"
"Daily-Range-by-President","reference","event_risk","C","SOURCE_MIRROR","Contextual range study"
"NonNormalOptionLab","risk","distribution","A","EA_RESEARCH_LAB/risk","Non-normal risk lab"
"Return-Distributions-R","distribution","tail_risk","A","AMOS_EDGE_LAB/distribution","R distribution implementations"
"Miscellaneous","reference","mixed","C","SOURCE_MIRROR","Mixed utilities; inspect selectively"
"Delta-Hedging-with-Bands","risk","control","A+","EA_RESEARCH_LAB/risk","Band-based intervention control"
"GARCH-SV-ACF","volatility","regime","A","AMOS_EDGE_LAB/volatility","Volatility/ACF diagnostics"
"GARCH-from-scratch","volatility","validation","A","AMOS_EDGE_LAB/volatility","Transparent GARCH reference"
"GARCH-variants","volatility","regime","A+","AMOS_EDGE_LAB/volatility","Multiple GARCH regimes"
"Weighted-Historical-Volatility","volatility","risk","A+","AMOS_EDGE_LAB/volatility","Adaptive historical volatility"
"Fit-Distributions","distribution","validation","A","AMOS_EDGE_LAB/distribution","Distribution fit comparison"
"Constrained-Autoregression","regime","control","A","AMOS_EDGE_LAB/regime","Constrained state dynamics"
"GARCH-in-mean","volatility","entry","A","AMOS_EDGE_LAB/volatility","Risk-return coupling"
"GARCH-models","volatility","regime","A","AMOS_EDGE_LAB/volatility","Volatility model collection"
"PosReg","regime","statistics","B","AMOS_EDGE_LAB/regime","Positive/constrained regression"
"GARCH-R","volatility","validation","B","AMOS_EDGE_LAB/volatility","R GARCH reference"
"Windows-File-Utils","data","infrastructure","C","SOURCE_MIRROR","Windows file utilities"
"vix_futures_strategies","ea_systems","volatility","A","EA_RESEARCH_LAB/entry","VIX futures strategy research"
"Returns-Skew-t","distribution","tail_risk","A+","AMOS_EDGE_LAB/distribution","Skew-t return model"
