asset_id,name,aliases,status,evidence_level,source_files,evidence_files,workflow_files,code_files,docs_files,sha256,notes
legacy_g75,G75,"g75;tsugi",legacy_evidence_found,LEGACY_EVIDENCE_FOUND,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_goririn,GORIRIN,"goririn;fusion",legacy_evidence_found,LEGACY_EVIDENCE_FOUND,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_minimumspike,MINIMUMSPIKE,"minimumspike;minimum spike",legacy_evidence_found,LEGACY_EVIDENCE_FOUND,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_mvc,MVC,"math_edge_mvc;multi-variable conformal;multivariable conformal",legacy_evidence_found,LEGACY_EVIDENCE_FOUND,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_vgrsi,VGRSI,vgrsi,legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_fib_harmonic,FIB HARMONIC,"fib;fibonacci;harmonic",legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_ict_smc,ICT SMC,"ict;smc;fvg;ifvg;bpr",legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_recovery,RECOVERY,"recovery;economic be;hedge lock;debt",legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_hft,HFT,"hft;note-hft;note_hft",legacy_evidence_found,LEGACY_EVIDENCE_FOUND,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_crystal_x,CRYSTAL X,"crystal-x;crystal_x;crystal",legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
legacy_amos,AMOS,amos,legacy_unverified,LEGACY_UNVERIFIED,,,,,,,Seed only; regenerated by research/graphify_legacy_backfill.py. Historical KPI requires explicit run/artifact verification.
